id;business_code;customer_user_id;placed_date;total_tax_value;total_due_value;status;invoice_id;estimated_delivery_date
1;angrily;automation;2024-06-03T06:31:13;25669.99;3036.02;CANCELLED;17159;2024-06-03T20:29:26
2;onto;yawn;2024-06-03T13:13:25;27323.78;16834.73;CANCELLED;12591;2024-06-03T08:46:42
3;lest an;scissors;2024-06-03T08:57:53;3923.65;13989.06;PENDING;15270;2024-06-03T00:10:19
4;transgress yet;rapidly call;2024-06-03T12:31:03;1914.09;7826.44;PENDING;30002;2024-06-03T22:25:28
5;scuffle;kindly which whereas;2024-06-03T15:08:39;30777.17;23818.23;PENDING;25795;2024-06-03T17:03:07
6;black minus;fancy the;2024-06-03T13:58:24;12214.69;22456.1;COMPLETED;7670;2024-06-03T00:28:03
7;astride barring alon;outrageous continually;2024-06-03T07:31:43;11643.15;16568.32;PENDING;23952;2024-06-03T03:43:22
8;busily protection yo;instead neatly order;2024-06-03T08:32:08;21269.42;1159.54;CANCELLED;2008;2024-06-03T10:40:57
9;ha whoa;um hence amidst;2024-06-03T14:34:58;4979.72;18113.61;PENDING;15095;2024-06-03T11:30:08
10;motion judicious eek;on;2024-06-03T15:58:32;23915.38;5424.3;COMPLETED;11138;2024-06-03T08:20:32
