id;inventory_product_id;sku_code;custom_name;custom_description;price_value;item_size;activation_status
1;13650;pedal among;cafe;gadzooks far-off;23118.51;S;PENDENT
2;19011;but;male optimistic;immense whirlwind lest;5326.04;XL;PENDENT
3;14470;for;grand;bah ick er;5038.13;L;INACTIVE
4;16445;certainly butcher phew;whoa;hoarse nasalise;401.02;XXL;ON_HOLD
5;15234;pro inexperienced imperfect;pun;jealously yowza forenenst;4013.25;XXL;ON_HOLD
6;19556;sharply stigmatize kindly;with;wearily;4064.99;XXL;INVALID
7;26400;ah aboard energetically;sympathetically;ack;863.69;L;ON_HOLD
8;9395;dispute stable well-documented;glossy;including;21466.13;S;INVALID
9;31938;waitress off lycra;alongside despite correctly;slippery furthermore;13268.12;S;INVALID
10;23160;specific after lest;behalf;when behove;26440.82;XXL;ACTIVE
