id;name;storage_type_used;full_filename_path;status;preferred_purpose;asset_content_as_blob;asset_content_as_blob_content_type;activation_status;asset_type_id
1;joyful who;BLOB_IN_DB;fooey;DISABLED;LOGO_IMG;../fake-data/blob/hipster.png;image/png;PENDENT;1
2;eek which enrage;OTHER_CLOUD_STORAGE;addle tarry;DISABLED;EXECUTABLE_PROGRAM_BINARY;../fake-data/blob/hipster.png;image/png;PENDENT;2
3;eraser hm moist;BLOB_IN_DB;readily across until;DISABLED;LOGO_IMG;../fake-data/blob/hipster.png;image/png;INACTIVE;3
4;blaring aboard;AWS_S3;calmly;ENABLED;PHOTO_ALBUM;../fake-data/blob/hipster.png;image/png;BLOCKED;4
5;prettify;OTHER_CLOUD_STORAGE;truly opening discredit;DISABLED;LOGO_IMG;../fake-data/blob/hipster.png;image/png;BLOCKED;5
6;filly foolishly that;REMOTE_MINIO;nap immediately utterly;ENABLED;USER_AVATAR;../fake-data/blob/hipster.png;image/png;INVALID;6
7;gadzooks;AWS_S3;irritably;ENABLED;ANY_OFFICE_FILE_TYPE;../fake-data/blob/hipster.png;image/png;INVALID;7
8;what sans modulo;REMOTE_MINIO;onto poem upside-down;ENABLED;LOGO_IMG;../fake-data/blob/hipster.png;image/png;ON_HOLD;8
9;uniformity for scissors;AWS_S3;pummel round;DELETED;PHOTO_ALBUM;../fake-data/blob/hipster.png;image/png;ACTIVE;9
10;barring;REMOTE_FILESYSTEM;obediently;DISABLED;EXECUTABLE_PROGRAM_BINARY;../fake-data/blob/hipster.png;image/png;PENDENT;10
