id;acronym;name;description;logo_brand;logo_brand_content_type
1;woot overconfidently;gap;shyly snowball lonely;../fake-data/blob/hipster.png;image/png
2;pollute;girdle down er;so seemingly consequently;../fake-data/blob/hipster.png;image/png
3;until;reluctantly;snoopy grave aw;../fake-data/blob/hipster.png;image/png
4;cool or hunter;subtract instead;if up;../fake-data/blob/hipster.png;image/png
5;stay fragrance;where zowie above;afore weep;../fake-data/blob/hipster.png;image/png
6;yippee embellished;obstruct feline;a;../fake-data/blob/hipster.png;image/png
7;past inheritance ben;gleefully well;forenenst;../fake-data/blob/hipster.png;image/png
8;scrape;route favorable;whenever reflecting although;../fake-data/blob/hipster.png;image/png
9;always;incidentally mukluk;whoever lyrics;../fake-data/blob/hipster.png;image/png
10;hamburger microchip ;reluctantly in yet;sermonise huzzah whereas;../fake-data/blob/hipster.png;image/png
