id;acronym;hierarchical_level;name;activation_status;organization_id
1;boohoo;collaborate;frivolous amid meh;PENDENT;1
2;weakly indeed;how;clear jacket;ON_HOLD;2
3;trek before;stare gah;excluding;INACTIVE;3
4;comfortable as likew;gee stark;chaplain hurl vivaciously;ACTIVE;4
5;tender lest faint;qua;coaxingly gosh;PENDENT;5
6;or lid times;parse daintily;separately till;ACTIVE;6
7;romanticise;duh self-assured;unacceptable;ON_HOLD;7
8;clump considering be;gun augment;besides;INVALID;8
9;between;almost;admirable oof svelte;INACTIVE;9
10;a;lest which ah;tenderly;ON_HOLD;10
