id;acronym;name;description;handler_clazz_name
1;during besides outside;polite;zowie;cant for
2;regarding past;stopwatch for shame;beyond uh-huh deceivingly;baggy
3;yomp placate grown;merrily absentmindedly truthful;whoever mysteriously gadzooks;carefully
4;than behind excepting;which;certainly anti wherever;consequently boohoo
5;closely;woodwind ouch;midst beside;versus assuage supposing
6;modulo distinct dimly;often smoggy;surprised worriedly meh;truthful
7;cruelly;sophisticated haunt furthermore;drench;zowie even circa
8;that absentmindedly;rightfully astride softly;than sarcastic corrode;beyond hmph despite
9;reason coarse before;court interfere;hmph underneath;dramatise
10;spaghetti yum nor;where;woot soul;gah
