id;acronym;name;description;street_address;house_number;location_name;postal_code;geo_polygon_area;geo_polygon_area_content_type;district_id
1;hence;behind as;evenly;rapidly plot blink;glossy as ashamed;technology;yet deepe;../fake-data/blob/hipster.png;image/png;1
2;weather micromanage ;husk;out beard what;sword finally;pilfer consequently;help;unless fi;../fake-data/blob/hipster.png;image/png;2
3;pfft;uniform rosy yum;if phew;sure-footed foregather;edify;that mild;famously;../fake-data/blob/hipster.png;image/png;3
4;holster forenenst be;till numeric;mast insidious;frenetically because obediently;verifiable;psst until ack;accomplis;../fake-data/blob/hipster.png;image/png;4
5;whoever;starve kill saddle;burn;quixotic disrobe while;highly;deadly;daintily ;../fake-data/blob/hipster.png;image/png;5
6;hmph cappuccino firs;tomorrow unless;torment yowza chip;yuck;between likewise;ugly;yahoo ami;../fake-data/blob/hipster.png;image/png;6
7;hence envious;but if;huzzah cascade violently;likely although yuck;charset jam-packed;reproachfully intent;bah pfft;../fake-data/blob/hipster.png;image/png;7
8;incarnation;aw;accomplished oh boo;afore immediately qua;um psst jazz;code;quizzical;../fake-data/blob/hipster.png;image/png;8
9;selfishly brr;violation per estate;er forenenst but;generous delightfully;contain gadzooks;poison after;however f;../fake-data/blob/hipster.png;image/png;9
10;ample immediately vi;appal excepting;afore inexperienced interestingly;fen spotted peacoat;hm given;but er;willfully;../fake-data/blob/hipster.png;image/png;10
