id;acronym;name;continent;geo_polygon_area;geo_polygon_area_content_type
1;inc;ha citrus thoroughly;ASIA;../fake-data/blob/hipster.png;image/png
2;for;swig likewise yowza;SOUTH_AMERICA;../fake-data/blob/hipster.png;image/png
3;gee;which the iron;CENTRAL_AMERICA;../fake-data/blob/hipster.png;image/png
4;ack;huzzah;EUROPE;../fake-data/blob/hipster.png;image/png
5;blu;vary;OCEANIA;../fake-data/blob/hipster.png;image/png
6;bla;midst still;EUROPE;../fake-data/blob/hipster.png;image/png
7;lep;timely towards proud;EUROPE;../fake-data/blob/hipster.png;image/png
8;out;magnify cap;OCEANIA;../fake-data/blob/hipster.png;image/png
9;yum;present;CENTRAL_AMERICA;../fake-data/blob/hipster.png;image/png
10;unn;yum;NORTH_AMERICA;../fake-data/blob/hipster.png;image/png
