id;acronym;name;geo_polygon_area;geo_polygon_area_content_type;town_city_id
1;loosely;cub over;../fake-data/blob/hipster.png;image/png;1
2;lay hm;amused qua;../fake-data/blob/hipster.png;image/png;2
3;trouble ;within well;../fake-data/blob/hipster.png;image/png;3
4;chat unn;knowledgeable;../fake-data/blob/hipster.png;image/png;4
5;badly mi;what flank yowza;../fake-data/blob/hipster.png;image/png;5
6;seriousl;painfully;../fake-data/blob/hipster.png;image/png;6
7;excludin;alongside;../fake-data/blob/hipster.png;image/png;7
8;dicker p;worse abridge after;../fake-data/blob/hipster.png;image/png;8
9;because ;honored uh-huh;../fake-data/blob/hipster.png;image/png;9
10;pleasing;supposing;../fake-data/blob/hipster.png;image/png;10
