id;invoice_id;transaction_created_date;transaction_modified_date;quantity;transaction_comments;activation_status;supplier_id;product_id;warehouse_id
1;18495;2024-06-08T02:00:57;2024-06-07T09:57:16;6757;teletype boo;ACTIVE;1;1;1
2;12793;2024-06-08T04:28:12;2024-06-08T03:11:48;3192;troll;ON_HOLD;2;2;2
3;31231;2024-06-07T22:27:55;2024-06-08T01:26:52;24857;pollard wolf;ACTIVE;3;3;3
4;3706;2024-06-08T02:28:17;2024-06-07T17:07:36;15608;gee ouch cant;ACTIVE;4;4;4
5;31121;2024-06-07T19:58:05;2024-06-08T06:34:44;12247;uh-huh after;BLOCKED;5;5;5
6;3031;2024-06-07T10:36:02;2024-06-07T17:22:38;31936;incidentally woozy where;INVALID;6;6;6
7;23841;2024-06-07T08:22:02;2024-06-07T23:52:27;15864;off;INVALID;7;7;7
8;7401;2024-06-08T00:54:01;2024-06-07T22:50:52;13421;among apropos;INACTIVE;8;8;8
9;8430;2024-06-08T02:25:06;2024-06-08T00:25:48;28900;race;BLOCKED;9;9;9
10;32726;2024-06-08T05:50:03;2024-06-07T08:36:22;3316;down perfect section;ACTIVE;10;10;10
