id;business_code;invoice_date;due_date;description;tax_value;shipping_value;amount_due_value;number_of_installments_original;number_of_installments_paid;amount_paid_value;status;custom_attributes_details_json;activation_status
1;aha;2024-06-07T12:10:39;2024-06-08T06:30:03;once answer;13511.52;14093.91;13424.96;12796;17663;8606.76;CANCELLED;upward um yowza;INACTIVE
2;afore boohoo;2024-06-08T06:24:59;2024-06-08T00:44:49;string lox into;28100.99;12560.89;7112.26;28958;21997;28801.79;PAID_ONCE;mammoth soon;INVALID
3;beyond;2024-06-07T22:01:55;2024-06-08T06:47:06;chart garrotte;13032.49;6214.69;2753.3;10708;4069;24896.07;PAID_ONCE;nor;ACTIVE
4;broadly clumsy ;2024-06-07T15:51:44;2024-06-07T12:52:29;motherly;2687.99;15394.13;3339.49;10635;16934;26010.26;ISSUED;memo;PENDENT
5;boohoo;2024-06-07T19:56:30;2024-06-07T15:50:19;via;25368.5;21183.29;14405.78;22249;32261;16261.05;CANCELLED;mechanically gosh publish;INVALID
6;statistic;2024-06-07T18:34:51;2024-06-08T03:25:48;frugal for quake;3197.13;21126;3774.06;29443;6560;15808.62;PAYING_IN_INSTALLMENTS;what;ACTIVE
7;obediently;2024-06-07T10:47:33;2024-06-07T15:55:23;essay since garrote;22981.68;28913.69;30525.72;22956;12720;20377.54;PAYING_IN_INSTALLMENTS;provided;ACTIVE
8;with woot;2024-06-07T17:45:39;2024-06-08T07:15:01;knotty;25054.74;14736.85;14984.5;20197;29775;10344.51;PAID_ONCE;oh realization;PENDENT
9;certainly earth;2024-06-08T05:22:20;2024-06-07T22:42:27;whenever clear-cut;22146.47;30356.99;26313.68;3734;16363;20795.3;CANCELLED;canine enormously pleased;INACTIVE
10;uh-huh blah pur;2024-06-08T02:21:45;2024-06-07T20:51:07;wallet;4523.49;10657.22;8706.89;24884;14495;8912.78;ISSUED;innocently;INVALID
