id;acronym;name;description;geo_polygon_area;geo_polygon_area_content_type;country_id
1;whereas;disobey;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;1
2;what;buddy;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2
3;joint;windy;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;3
4;whether;reassuringly for moccasins;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;4
5;despite ;though excitedly surgery;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;5
6;meanwhil;string opposite wherever;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;6
7;along na;conservation now;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;7
8;furtherm;input which;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;8
9;whoever ;screw-up;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;9
10;long eat;solid;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;10
