id;business_code;placed_date;total_tax_value;total_due_value;status;estimated_delivery_date;activation_status;customer_id
1;angrily;2024-06-08T06:27:45;4536.73;20650.91;COMPLETED;2024-06-07T23:24:55;PENDENT;1
2;along stake;2024-06-07T16:46:47;1899.95;13986.31;COMPLETED;2024-06-07T11:23:08;INACTIVE;2
3;high except;2024-06-07T21:51:06;12999.5;30139.52;COMPLETED;2024-06-07T09:14:36;ACTIVE;3
4;ha judgementally;2024-06-07T21:08:02;30867.01;20434.77;CANCELLED;2024-06-08T01:44:01;PENDENT;4
5;whoa qua health-care;2024-06-08T03:24:13;2932.88;22281.42;COMPLETED;2024-06-07T22:03:20;INACTIVE;5
6;televise;2024-06-07T23:30:35;16184.38;10837.88;CANCELLED;2024-06-07T14:21:04;BLOCKED;6
7;well-made disgust ic;2024-06-07T14:52:22;17334.93;25794.78;COMPLETED;2024-06-07T18:42:06;INVALID;7
8;yippee gadzooks;2024-06-07T10:04:00;27771.57;29090.84;PENDING;2024-06-07T11:58:30;ACTIVE;8
9;handsome zowie duh;2024-06-07T16:21:08;19518.86;18068.73;PENDING;2024-06-08T02:03:44;ACTIVE;9
10;keenly outrageous;2024-06-07T16:52:15;161.58;32718.54;PENDING;2024-06-07T13:46:55;INACTIVE;10
