id;domain_acronym;name;is_verified;business_handler_clazz;activation_status;organization_id
1;gratefully;lest psst;false;brisk tricky;BLOCKED;1
2;nor actually;unless where disagree;true;fascinate;INACTIVE;2
3;cement;whose almost telecast;true;stark nippy;ON_HOLD;3
4;unlearn hut;gadzooks beautifully;false;hasty joyously inasmuch;INACTIVE;4
5;below roughly;badly incidentally;true;more pepper lest;PENDENT;5
6;visible staunch heirloom;warmly;false;bossy toward;ON_HOLD;6
7;coolly pervade astride;jabber pfft;true;complete urgently;ACTIVE;7
8;bode;coverage plastic queasily;true;general;ON_HOLD;8
9;plus an;stagnate;false;enormously after our;ACTIVE;9
10;far-off;option;true;foolhardy myth saxophone;ACTIVE;10
