id;installment_number;payment_due_date;payment_paid_date;payment_amount;type_of_payment;status_payment;custom_attributes_details_json;activation_status;payment_gateway_id
1;381;2024-06-07T12:28:23;2024-06-07T17:29:21;23353.56;CREDIT;PAID;wetly;ACTIVE;1
2;12386;2024-06-07T10:27:55;2024-06-07T12:49:44;1459.6;DEBIT;PAID;practitioner easily;BLOCKED;2
3;4986;2024-06-07T13:21:21;2024-06-08T03:05:37;24204.27;CREDIT;OPEN;whispered even;INVALID;3
4;20868;2024-06-07T14:22:58;2024-06-07T21:21:27;2747.45;DEBIT;CANCELLED;confess fixed;ACTIVE;4
5;21190;2024-06-08T07:54:56;2024-06-08T06:56:57;20919.69;CASH;OPEN;stuff;BLOCKED;5
6;20602;2024-06-07T15:34:52;2024-06-07T13:38:59;9447.1;CASH;OPEN;extremely following suspiciously;INACTIVE;6
7;17951;2024-06-08T08:05:42;2024-06-07T22:58:50;15629.69;CASH;DELAYED;geez needy;INACTIVE;7
8;1315;2024-06-08T00:12:28;2024-06-08T03:13:25;10051.65;CREDIT;CANCELLED;suction indelible uh-huh;INVALID;8
9;15496;2024-06-08T03:47:08;2024-06-07T16:59:25;32693.96;BANK_TRANSFER;DELAYED;off;INVALID;9
10;2304;2024-06-07T19:06:13;2024-06-07T14:59:29;13515.36;DEBIT;DELAYED;whenever incidentally;INVALID;10
