id;alias_code;description;business_handler_clazz;activation_status
1;hm phew furthermore;where;instead sleet coordinated;ON_HOLD
2;among better provide;drat;competent;ACTIVE
3;excluding;now;descent upwardly;INVALID
4;ugh;yuck;jinx eek;BLOCKED
5;hit repeat;however whenever;well-to-do pong;PENDENT
6;likely which;that penicillin mmm;thorough questioningly;INACTIVE
7;brr party mortally;woot tiny;outgoing chalet cookbook;ON_HOLD
8;humanity;inquisitively unimpressively;nanoparticle gee;ON_HOLD
9;fast oof;even parallel anti;used;BLOCKED
10;loyally unto rock;yuck mmm as;boastfully;PENDENT
