id;product_sku;product_name;description;standard_cost;list_price;reorder_level;target_level;quantity_per_unit;discontinued;minimum_reorder_quantity;suggested_category;attachments;attachments_content_type;activation_status;brand_id
1;photograph;remaster ambience honestly;provided and;26956.62;18175.05;14369;14305;forenenst next er;true;1260;after;../fake-data/blob/hipster.png;image/png;INVALID;1
2;spy flashy;off so;meh;25302.1;28859.03;4098;2448;zany instead;false;22956;moo;../fake-data/blob/hipster.png;image/png;ON_HOLD;2
3;fast honestly;netball per because;pfft but furthermore;16418.02;27959.06;8843;1421;questionably and deface;false;32260;whoever whose woot;../fake-data/blob/hipster.png;image/png;INVALID;3
4;if hideous;hm um puncture;nor tensely yippee;18764.4;12197.83;945;21751;desert;false;20974;from woot neat;../fake-data/blob/hipster.png;image/png;ACTIVE;4
5;coaxingly;insecure violently strictly;forsake ah flamboyant;26783.47;7104.24;27183;18586;pish forked mock;true;11273;betray dromedary;../fake-data/blob/hipster.png;image/png;INVALID;5
6;indeed vice amplify;since;between consumption;16883.65;1826.72;21875;10473;past;true;21457;horse playful;../fake-data/blob/hipster.png;image/png;INVALID;6
7;bark fresh brow;instead broken madly;furthermore;9885.9;28567.17;27299;16640;beneath frank critical;false;3813;heal although;../fake-data/blob/hipster.png;image/png;INVALID;7
8;perjure secularise;keel excepting ah;floor executor till;30482.71;12378.93;2114;18345;meanwhile ack;true;30340;before;../fake-data/blob/hipster.png;image/png;ACTIVE;8
9;prowl;on better elm;flowery;5791.88;16189.84;6047;2988;forenenst;true;27130;giraffe;../fake-data/blob/hipster.png;image/png;ON_HOLD;9
10;what versus miserably;though;drafty;6614.67;26757.68;6300;13368;gah greedily;true;12129;regularly phooey;../fake-data/blob/hipster.png;image/png;ACTIVE;10
