id;acronym;name;geo_polygon_area;geo_polygon_area_content_type;country_id
1;how;toward nor phooey;../fake-data/blob/hipster.png;image/png;1
2;aga;yahoo unto;../fake-data/blob/hipster.png;image/png;2
3;per;gosh complete pfft;../fake-data/blob/hipster.png;image/png;3
4;des;why hence;../fake-data/blob/hipster.png;image/png;4
5;tow;as deport mistrust;../fake-data/blob/hipster.png;image/png;5
6;toi;hasty hm nor;../fake-data/blob/hipster.png;image/png;6
7;now;forenenst neatly;../fake-data/blob/hipster.png;image/png;7
8;yah;high duh outside;../fake-data/blob/hipster.png;image/png;8
9;inn;gift weakness;../fake-data/blob/hipster.png;image/png;9
10;und;loudly yuck;../fake-data/blob/hipster.png;image/png;10
