id;acronym;company_name;street_address;house_number;location_name;city;state_province;zip_postal_code;country_region;point_location;point_location_content_type;main_email;phone_number_1;phone_number_2;custom_attributes_details_json;activation_status;representative_person_id
1;remainder however length;deadly;motivate;sod;highly dish;Lemkemouth;nor boohoo oh;powerless via;yowza than;../fake-data/blob/hipster.png;image/png;"j.}>@dK85A.5h:T'g";hm whoa;motor;till;ON_HOLD;1
2;considerate pish energetic;as;amongst institutionalise;disperse;opt so;North Stephonton;c-clamp;ick imperturbab;ah busily;../fake-data/blob/hipster.png;image/png;"o@Y}PP.<uJ";whose turbulent;hm;spawn;ACTIVE;2
3;circa;valiantly vice;toss;whereas until;ah;South Trevion;gush sanitize avenue;jam-packed mean;furiously;../fake-data/blob/hipster.png;image/png;"Ov@fWx.IPq0T";giraffe cwtch e;keep;hoick unit;INVALID;3
4;via;ugh;colonialism ballot;vivaciously grown;slash sweetly;Welchcester;courageously definite plunger;dreamily;whether an;../fake-data/blob/hipster.png;image/png;"|<4m0@B}.q";respite instead;anglicise aprop;upbeat;INVALID;4
5;footnote;candid;good-natured collard freelance;secret;atop gee;Fort Kamille;pester interpenetrate;warmly constrai;fallacy popularise;../fake-data/blob/hipster.png;image/png;"w@fZ+Xa.v";contravene dict;busy;eyelashes into;ACTIVE;5
6;ford kludge;yippee thwack;apropos;unhappy;um abaft;Port Kirstin;thrill ack;sow er;qua provided quirkily;../fake-data/blob/hipster.png;image/png;"R,<v@OLQ}.AH<(";regarding;info;grocery till;BLOCKED;6
7;school;misguided near overdue;times;behavior mid marvelo;meh merit;Lake Jennyferbury;finally;above negative;circa gadzooks iridescence;../fake-data/blob/hipster.png;image/png;"/>@H8Ex.tQV`";dependent earne;if diary;worthless;ON_HOLD;7
8;against joyously shuttle;pro woot that;never;nor loosely commonly;hence;Port Karolann;lonely bah uh-huh;awful antiquity;candid;../fake-data/blob/hipster.png;image/png;"6fx-/J@M8IRAP.~d>-7";smart failing;phooey befall;huzzah strident atop;INACTIVE;8
9;ick;unpack;before;as;how;Darioworth;enormous truly excepting;untried;unbearably scow;../fake-data/blob/hipster.png;image/png;"7@t9)gIL.nn7))^";down;recklessly corr;carefully carter below;ACTIVE;9
10;majestic;dimly;modulo ouch monumental;airfreight;sniveling among gah;South Kiana;phew blah;cluttered pen a;rusty;../fake-data/blob/hipster.png;image/png;"+8WZEE@3v)&8..W3PG";invitation abse;clock or;up likewise characteristic;BLOCKED;10
