id;acronym;name;geo_polygon_area;geo_polygon_area_content_type;province_id
1;interest;actor;../fake-data/blob/hipster.png;image/png;1
2;imperfec;knottily cautious dill;../fake-data/blob/hipster.png;image/png;2
3;conseque;indeed apud;../fake-data/blob/hipster.png;image/png;3
4;swirl;whoever;../fake-data/blob/hipster.png;image/png;4
5;lest und;rudely;../fake-data/blob/hipster.png;image/png;5
6;unless;runway rotating;../fake-data/blob/hipster.png;image/png;6
7;bah;of;../fake-data/blob/hipster.png;image/png;7
8;accommod;candle;../fake-data/blob/hipster.png;image/png;8
9;digitise;memorize;../fake-data/blob/hipster.png;image/png;9
10;alongsid;willfully outstay monotheism;../fake-data/blob/hipster.png;image/png;10
