id;acronym;name;description;handler_clazz_name;custom_attributes_details_json
1;gah disqualify;respite meter apprehensive;roost;since;scarecrow dance ick
2;brr since aside;hm;uh-huh;pray glistening er;each oof hm
3;iron decadence since;plush;fortress;gobbler self-reliant representative;reassuringly yippee
4;yum cable;greatly;at yippee;well-worn bracket;like wrapping
5;meh at sans;toward times qua;shyly;solidly boiling;freely zowie neuter
6;original excluding gah;unnecessarily finally aboard;trivial eek;minor cool root;acclaimed
7;effect huzzah;proud openly;till ick whereas;lest;precious phooey
8;jealously;now brand;misfire;loving jiffy;boo
9;log pitiful;eek upwardly closed;below;yearly;cleverly pro
10;swiftly ample;excluding;or foolishly;phooey gran;co-producer regarding
