id;acronym;name;description;business_handler_clazz
1;cache;appall bah;gloomy equally;dictate grief rapidly
2;gadzooks drafty;aboard;distorted;considering fervently judgementally
3;printer throbbing yo;vibrissae;similar legend;or
4;caper;down woot general;high than aw;favorable not next
5;unimpressively refri;per;hence factorize;sweetly short-term
6;surmise pleasing;after till yowza;nightmare latte whopping;proliferation
7;badly;another;plateau;eek boastfully
8;tame awkwardly;hunt;diligent housework wrap;calmly wisely who
9;pelican heavenly pri;keenly pfft;murky provided leading;afterwards owlishly instead
10;failing virtual woot;considering healthy when;ew;dumbfound
