id;acronym;name;description;street_address;house_number;location_name;postal_code;point_location;point_location_content_type;main_email;land_phone_number;mobile_phone_number;fax_number;custom_attributes_details_json;activation_status
1;notch optimistic;pristine yowza;accidentally per;plus;out psst villainous;eek fan;trove ent;../fake-data/blob/hipster.png;image/png;"%e>[W@<Q4W.`M8X|";rambler;secret daring;but sweetly;rich off;ON_HOLD
2;blah;handy truthfully at;yuck;bottom;tensely untrue;rev what crossly;spool;../fake-data/blob/hipster.png;image/png;"enI/@+;.-GM$M";amid now suppos;so;midst quaintly ;clutter ramen;ON_HOLD
3;yuck;seemingly;interpolate;foil elementary strategy;zigzag gadzooks;consequently agreeable gadzooks;oh before;../fake-data/blob/hipster.png;image/png;"wBg{@o.\.";near;probable upward;far approval up;afterwards admired;ON_HOLD
4;upwardly since;gracefully;mmm loafer until;however;modulo mortally as;during in;antique;../fake-data/blob/hipster.png;image/png;"2Z@hLL{9z.C";oh save willful;er choker;minus adept uh-;uh-huh;PENDENT
5;regarding tone bitterly;softball;plunk wrestler until;across;doing design;till smog by;oxford qu;../fake-data/blob/hipster.png;image/png;"&@E./Y^Z!l";round;collude indeed ;swimsuit multic;smolt;INVALID
6;cope eventually save;wiring which;before soon fatally;beneath monotheism;overlook;machine infancy;propagand;../fake-data/blob/hipster.png;image/png;"h`e4J@)xt.Uo";beyond finally ;for whoever alp;swiftly systema;transplantation;BLOCKED
7;off writhe stipple;humiliating;ew warlord;versify;considering than;openly gall-bladder athletic;surprisin;../fake-data/blob/hipster.png;image/png;"%h\JM]@P9C/qZ.kc%SV";yuck overstep a;savage baggy yi;drat;flowery;PENDENT
8;ew;suspiciously upright supposing;mmm a yuck;phooey at;party forked provide;ick;psst;../fake-data/blob/hipster.png;image/png;";'%*@\R.wD{HD";rotating;misapply revita;within meanwhil;abnormally fooey;BLOCKED
9;until even out;deadly large;although clack;apud ecclesia boohoo;bah crackle;upshift extemporise;nor ick w;../fake-data/blob/hipster.png;image/png;"-.>T@:~SOW{._-^6";exhibit;spy;kindly;duh reporter;INVALID
10;gynaecology worth finally;lunge;verbally ornery;duh but instantly;shyly;rigidly stormy now;hydrolysi;../fake-data/blob/hipster.png;image/png;"K@Ops3sm.N%9q]";embrace tweet;because straigh;upliftingly blo;after;INVALID
